Image,Severity,PDI (%),Yellowing (%),Browning (%),Blight (%)
healthy_01.jpg,Healthy,0.0,0.0,0.0,0.0
healthy_02.jpg,Healthy,0.0,0.0,0.0,0.0
healthy_03.jpg,Healthy,0.54,0.54,0.0,0.0
healthy_04.jpg,Healthy,1.45,1.36,0.84,0.0
healthy_05.jpg,Healthy,1.17,0.1,0.0,1.06
healthy_06.jpg,Healthy,0.0,0.0,0.0,0.0
healthy_07.jpg,Healthy,2.31,1.36,0.51,0.86
healthy_08.jpg,Healthy,0.08,0.08,0.0,0.0
healthy_09.jpg,Healthy,0.42,0.4,0.24,0.0
healthy_10.jpg,Healthy,0.0,0.0,0.0,0.0
healthy_11.jpg,Healthy,1.18,0.24,0.05,0.92
healthy_12.jpg,Healthy,0.67,0.62,0.46,0.0
mild_13.jpg,Healthy,4.6,4.48,0.0,0.03
mild_14.jpg,Healthy,3.01,2.47,0.24,0.49
mild_15.jpg,Healthy,2.76,2.45,0.8,0.16
mild_16.jpg,Mild,5.2,3.78,1.63,1.0
mild_17.jpg,Healthy,4.0,3.54,0.91,0.38
mild_18.jpg,Mild,6.19,5.99,1.06,0.01
mild_19.jpg,Mild,5.71,4.22,1.69,1.3
mild_20.jpg,Mild,5.67,3.97,1.61,1.42
mild_21.jpg,Healthy,3.1,3.01,0.38,0.0
mild_22.jpg,Mild,5.1,4.73,2.2,0.0
mild_23.jpg,Healthy,3.72,3.36,0.03,0.31
mild_24.jpg,Healthy,3.88,2.83,1.46,0.87
mild_25.jpg,Healthy,3.72,3.62,0.13,0.01
mild_26.jpg,Healthy,4.54,4.41,0.74,0.01
moderate_27.jpg,Mild,11.87,7.7,2.68,3.63
moderate_28.jpg,Mild,13.07,9.41,2.65,3.1
moderate_29.jpg,Mild,11.02,7.13,2.62,3.22
moderate_30.jpg,Mild,9.94,6.83,1.1,2.8
moderate_31.jpg,Mild,10.11,7.28,1.63,2.5
moderate_32.jpg,Mild,10.49,6.77,3.0,3.27
moderate_33.jpg,Mild,10.29,7.5,1.64,2.3
moderate_34.jpg,Mild,11.71,8.45,0.7,2.9
moderate_35.jpg,Mild,11.42,6.89,3.18,3.81
moderate_36.jpg,Mild,11.35,8.43,1.84,2.54
moderate_37.jpg,Mild,11.22,9.61,2.33,1.11
moderate_38.jpg,Mild,11.98,9.55,4.43,1.66
moderate_39.jpg,Mild,14.15,12.17,4.06,1.26
moderate_40.jpg,Mild,9.81,7.33,0.19,2.35
severe_41.jpg,Mild,16.97,13.44,2.93,2.85
severe_42.jpg,Mild,16.75,14.01,2.64,1.99
severe_43.jpg,Mild,18.59,12.73,5.26,4.68
severe_44.jpg,Mild,19.1,13.27,2.46,4.99
severe_45.jpg,Mild,17.55,14.12,4.09,2.47
severe_46.jpg,Mild,17.6,12.29,4.13,4.19
severe_47.jpg,Moderate,20.8,13.16,2.82,6.72
severe_48.jpg,Mild,18.47,14.7,2.19,3.12
severe_49.jpg,Moderate,20.89,13.95,3.95,5.78
severe_50.jpg,Mild,16.57,12.79,4.92,2.68
